entity,period,unit,decimals,value
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00/2020-01-01T00:00:00,iso4217:EUR,-5,0
549300VZKC61IR5U8G96,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-3,207120000
549300VZKC61IR5U8G96,2021-01-01T00:00:00/2022-01-01T00:00:00,iso4217:EUR,-5,321700000
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00/2020-01-01T00:00:00,iso4217:EUR,-5,0
HD52L5PJVBXJUUX8I539,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-5,0
5299004ZME6CSBR7WP07,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-3,1967000
5299004ZME6CSBR7WP07,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-3,0
5299004ZME6CSBR7WP07,2019-01-01T00:00:00/2020-01-01T00:00:00,iso4217:EUR,-3,0
HD52L5PJVBXJUUX8I539,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-5,935400000
HD52L5PJVBXJUUX8I539,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-5,935400000
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00/2020-01-01T00:00:00,iso4217:EUR,-5,0
HD52L5PJVBXJUUX8I539,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-5,0
549300VZKC61IR5U8G96,2019-01-01T00:00:00/2020-01-01T00:00:00,iso4217:EUR,-3,122753000
5299004ZME6CSBR7WP07,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-3,0
549300VZKC61IR5U8G96,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-3,203718000
5299004ZME6CSBR7WP07,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-3,0
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00/2020-01-01T00:00:00,iso4217:EUR,-5,0
549300VZKC61IR5U8G96,2021-01-01T00:00:00/2022-01-01T00:00:00,iso4217:EUR,-5,321700000
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00/2020-01-01T00:00:00,iso4217:EUR,-5,0
HD52L5PJVBXJUUX8I539,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-5,935400000
5299004ZME6CSBR7WP07,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-3,1967000
549300VZKC61IR5U8G96,2019-01-01T00:00:00/2020-01-01T00:00:00,iso4217:EUR,-3,122753000
HD52L5PJVBXJUUX8I539,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-5,0
5299004ZME6CSBR7WP07,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-3,1967000
HD52L5PJVBXJUUX8I539,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-5,0
5299004ZME6CSBR7WP07,2019-01-01T00:00:00/2020-01-01T00:00:00,iso4217:EUR,-3,246811000
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00/2020-01-01T00:00:00,iso4217:EUR,-5,373400000
549300VZKC61IR5U8G96,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-3,203718000
549300VZKC61IR5U8G96,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-5,203700000
549300VZKC61IR5U8G96,2021-01-01T00:00:00/2022-01-01T00:00:00,iso4217:EUR,-5,321700000
549300VZKC61IR5U8G96,2021-01-01T00:00:00/2022-01-01T00:00:00,iso4217:EUR,-5,-3800000
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00/2020-01-01T00:00:00,iso4217:EUR,-5,362000000
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00/2020-01-01T00:00:00,iso4217:EUR,-5,0
5299004ZME6CSBR7WP07,2019-01-01T00:00:00/2020-01-01T00:00:00,iso4217:EUR,-3,234347000
549300VZKC61IR5U8G96,2019-01-01T00:00:00/2020-01-01T00:00:00,iso4217:EUR,-3,122753000
5299004ZME6CSBR7WP07,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-3,35213000
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00/2020-01-01T00:00:00,iso4217:EUR,-5,373400000
5299004ZME6CSBR7WP07,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-3,-33246000
5299004ZME6CSBR7WP07,2019-01-01T00:00:00/2020-01-01T00:00:00,iso4217:EUR,-3,0
549300VZKC61IR5U8G96,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-5,203700000
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00/2020-01-01T00:00:00,iso4217:EUR,-5,362000000
549300VZKC61IR5U8G96,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-3,-3402000
5299004ZME6CSBR7WP07,2019-01-01T00:00:00/2020-01-01T00:00:00,iso4217:EUR,-3,0
549300VZKC61IR5U8G96,2021-01-01T00:00:00/2022-01-01T00:00:00,iso4217:EUR,-5,321700000
549300VZKC61IR5U8G96,2019-01-01T00:00:00/2020-01-01T00:00:00,iso4217:EUR,-3,-5051000
5299004ZME6CSBR7WP07,2019-01-01T00:00:00/2020-01-01T00:00:00,iso4217:EUR,-3,0
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00/2020-01-01T00:00:00,iso4217:EUR,-5,373400000
549300VZKC61IR5U8G96,2021-01-01T00:00:00/2022-01-01T00:00:00,iso4217:EUR,-5,325500000
549300VZKC61IR5U8G96,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-3,203718000
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00/2020-01-01T00:00:00,iso4217:EUR,-5,373400000
549300VZKC61IR5U8G96,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-5,-3400000
HD52L5PJVBXJUUX8I539,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-5,926800000
5299004ZME6CSBR7WP07,2019-01-01T00:00:00/2020-01-01T00:00:00,iso4217:EUR,-3,234347000
5299004ZME6CSBR7WP07,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-3,0
549300VZKC61IR5U8G96,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-5,203700000
5299004ZME6CSBR7WP07,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-3,0
5299004ZME6CSBR7WP07,2019-01-01T00:00:00/2020-01-01T00:00:00,iso4217:EUR,-3,0
549300VZKC61IR5U8G96,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-5,203700000
549300VZKC61IR5U8G96,2019-01-01T00:00:00/2020-01-01T00:00:00,iso4217:EUR,-3,127804000
549300VZKC61IR5U8G96,2019-01-01T00:00:00/2020-01-01T00:00:00,iso4217:EUR,-3,122753000
549300VZKC61IR5U8G96,2021-01-01T00:00:00/2022-01-01T00:00:00,iso4217:EUR,-5,-3800000
549300VZKC61IR5U8G96,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-5,203700000
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00/2020-01-01T00:00:00,iso4217:EUR,-5,11400000
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00/2020-01-01T00:00:00,iso4217:EUR,-5,0
5299004ZME6CSBR7WP07,2019-01-01T00:00:00/2020-01-01T00:00:00,iso4217:EUR,-3,246811000
5299004ZME6CSBR7WP07,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-3,1967000
5299004ZME6CSBR7WP07,2019-01-01T00:00:00/2020-01-01T00:00:00,iso4217:EUR,-3,246811000
5299004ZME6CSBR7WP07,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-3,-33246000
549300VZKC61IR5U8G96,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-3,203718000
HD52L5PJVBXJUUX8I539,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-5,0
5299004ZME6CSBR7WP07,2019-01-01T00:00:00/2020-01-01T00:00:00,iso4217:EUR,-3,246811000
549300VZKC61IR5U8G96,2021-01-01T00:00:00/2022-01-01T00:00:00,iso4217:EUR,-5,321700000
549300VZKC61IR5U8G96,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-5,207100000
549300VZKC61IR5U8G96,2021-01-01T00:00:00/2022-01-01T00:00:00,iso4217:EUR,-5,325500000
549300VZKC61IR5U8G96,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-5,203700000
HD52L5PJVBXJUUX8I539,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-5,0
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00/2020-01-01T00:00:00,iso4217:EUR,-5,0
HD52L5PJVBXJUUX8I539,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-5,935400000
549300VZKC61IR5U8G96,2021-01-01T00:00:00/2022-01-01T00:00:00,iso4217:EUR,-5,325500000
549300VZKC61IR5U8G96,2021-01-01T00:00:00/2022-01-01T00:00:00,iso4217:EUR,-5,321700000
549300VZKC61IR5U8G96,2021-01-01T00:00:00/2022-01-01T00:00:00,iso4217:EUR,-5,321700000
549300VZKC61IR5U8G96,2019-12-31T00:00:00/2020-01-01T00:00:00,iso4217:EUR,-3,127804000
549300VZKC61IR5U8G96,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-5,207100000
5299004ZME6CSBR7WP07,2019-01-01T00:00:00/2020-01-01T00:00:00,iso4217:EUR,-3,12464000
HD52L5PJVBXJUUX8I539,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-5,0
549300VZKC61IR5U8G96,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-5,207100000
HD52L5PJVBXJUUX8I539,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-5,0
HD52L5PJVBXJUUX8I539,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-5,926800000
549300VZKC61IR5U8G96,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-5,203700000
549300VZKC61IR5U8G96,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-3,207120000
HD52L5PJVBXJUUX8I539,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-5,8600000
549300VZKC61IR5U8G96,2021-01-01T00:00:00/2022-01-01T00:00:00,iso4217:EUR,-5,325500000
549300VZKC61IR5U8G96,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-5,203700000
549300VZKC61IR5U8G96,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-5,-3400000
549300VZKC61IR5U8G96,2021-01-01T00:00:00/2022-01-01T00:00:00,iso4217:EUR,-5,321700000
549300VZKC61IR5U8G96,2020-01-01T00:00:00/2021-01-01T00:00:00,iso4217:EUR,-5,207100000
